chr,type,start,end,strand,gbkey,locus_tag,product,old_ID,Name_Conversion,Notes
CP141118.1,mRNA,102024,103642,+,mRNA,cpbgf_100230,Glycosyl transferase%2Cfamily 1,cgd1_230,direct_name,
CP141118.1,mRNA,103489,104756,-,mRNA,cpbgf_100240,Signal peptide region containing protein,cgd1_240,direct_name,
CP141118.1,mRNA,104814,106438,-,mRNA,cpbgf_100250,ATP-dependent RNA helicase,cgd1_250,direct_name,
CP141118.1,lnc_RNA,104815,105485,+,ncRNA,cpbgf_100245,lncRNA,None,None,
CP141118.1,mRNA,106634,108042,-,mRNA,cpbgf_100260,Signal peptide region containing protein,cgd1_260,direct_name,
CP141118.1,mRNA,108409,109769,+,mRNA,cpbgf_100270,C2H2-type Zinc finger domain containing protein,cgd1_270,direct_name,
CP141118.1,mRNA,108836,110424,-,mRNA,cpbgf_100280,Short-chain dehydrogenase/reductase SDR,cgd1_280,direct_name,
CP141118.1,mRNA,110518,111984,+,mRNA,cpbgf_100290,Ubiquitin carboxyl-terminal hydrolase/Ubiquitin family,cgd1_290,direct_name,
CP141118.1,mRNA,112001,112578,-,mRNA,cpbgf_100300,40S ribosomal protein S21,cgd1_300,direct_name,
CP141118.1,mRNA,112664,114317,-,mRNA,cpbgf_100310,AP endonuclease 2,cgd1_310,direct_name,
CP141118.1,mRNA,114066,116135,-,mRNA,cpbgf_100320,Oxysterol-binding protein,cgd1_320,direct_name,
CP141118.1,lnc_RNA,114082,115536,+,ncRNA,cpbgf_100315,lncRNA,None,None,
CP141118.1,mRNA,116731,119575,-,mRNA,cpbgf_100330,CDC48 like AAA ATPase,cgd1_330,direct_name,
CP141118.1,mRNA,119714,121477,+,mRNA,cpbgf_100340,machado-Joseph disease protein like domain/UBX domain containing protein,cgd1_340,direct_name,
CP141118.1,mRNA,121806,125294,+,mRNA,cpbgf_100350,RNA recognition motif domain containing protein,cgd1_350,direct_name,
CP141118.1,mRNA,125111,127731,-,mRNA,cpbgf_100360,Nucleolar complex protein 2,cgd1_360,direct_name,
CP141118.1,lnc_RNA,127785,130316,+,ncRNA,cpbgf_100365,lncRNA,None,None,
CP141118.1,mRNA,127905,130323,-,mRNA,cpbgf_100370,carboxypeptidase A with signal peptide region,cgd1_370,direct_name,
CP141118.1,lnc_RNA,130504,131841,+,ncRNA,cpbgf_100385,lncRNA,None,None,
CP141118.1,mRNA,130766,131840,-,mRNA,cpbgf_100380,Ubiquinone biosynthesis protein COQ4,cgd1_380,direct_name,
CP141118.1,mRNA,132496,133474,+,mRNA,cpbgf_100390,Uncharacterized protein,cgd1_390,direct_name,
CP141118.1,mRNA,133424,135911,+,mRNA,cpbgf_100410,CMGC/MAPK group Protein kinase,cgd1_410,direct_name,
CP141118.1,mRNA,135869,136630,-,mRNA,cpbgf_100420,Ubiquitin-conjugating enzyme E2,cgd1_420,direct_name,
CP141118.1,mRNA,137023,138956,+,mRNA,cpbgf_100440,Proteasome subunit beta type,cgd1_440,direct_name,
CP141118.1,mRNA,138190,138934,-,mRNA,cpbgf_100430,emp24/gp25L/p24 family/GOLD domain containing protein,cgd1_430,direct_name,
CP141118.1,mRNA,139288,140528,+,mRNA,cpbgf_100450,Signal peptidase I,cgd1_450,direct_name,
CP141118.1,mRNA,139829,142030,-,mRNA,cpbgf_100455,Uncharacterized protein,cgd1_450,no_direct_name,gene split
CP141118.1,mRNA,142198,144821,-,mRNA,cpbgf_100460,Uncharacterized protein,cgd1_460,direct_name,
CP141118.1,mRNA,144504,149975,+,mRNA,cpbgf_100470,Armadillo-type fold/Signal peptide region containing protein,cgd1_470,direct_name,
CP141118.1,mRNA,148750,150026,-,mRNA,cpbgf_100490,Uncharacterized protein,cgd1_490,direct_name,
CP141118.1,mRNA,150371,151175,-,mRNA,cpbgf_100493,Uncharacterized protein,cgd1_493,direct_name,
CP141118.1,mRNA,151404,153217,+,mRNA,cpbgf_100500,Exonuclease V,cgd1_500,direct_name,
CP141118.1,mRNA,153152,155131,+,mRNA,cpbgf_100510,Uncharacterized protein,cgd1_510,direct_name,
CP141118.1,lnc_RNA,153236,155203,-,ncRNA,cpbgf_100515,lncRNA,None,None,
CP141118.1,mRNA,155273,156546,-,mRNA,cpbgf_100520,V-type proton ATPase proteolipid subunit,cgd1_520,direct_name,
CP141118.1,lnc_RNA,155447,156703,+,ncRNA,cpbgf_100525,lncRNA,None,None,
CP141118.1,mRNA,157014,157501,+,mRNA,cpbgf_100530,H/ACA ribonucleoprotein complex subunit Nop10,cgd1_530,direct_name,
CP141118.1,mRNA,157689,158471,-,mRNA,cpbgf_100540,V-type proton ATPase proteolipid subunit,cgd1_540,direct_name,
CP141118.1,mRNA,159205,160166,-,mRNA,cpbgf_100543,C2H2-type Zinc finger containing protein,cgd1_543,direct_name,
CP141118.1,mRNA,160258,169877,+,mRNA,cpbgf_100550,Uncharacterized protein,cgd1_550,direct_name,
CP141118.1,mRNA,169949,171436,+,mRNA,cpbgf_100560,WD40 protein,cgd1_560,direct_name,
CP141118.1,mRNA,171628,172332,-,mRNA,cpbgf_100570,Translocation protein Sec66,cgd1_570,direct_name,
CP141118.1,mRNA,173436,176716,-,mRNA,cpbgf_100580,Dynamin-like protein,cgd1_580,direct_name,
CP141118.1,mRNA,177489,185360,-,mRNA,cpbgf_100590,Uncharacterized protein,cgd1_590,direct_name,
CP141118.1,mRNA,185515,187120,-,mRNA,cpbgf_100600,Oxoglutarate/malate translocator protein,cgd1_600,direct_name,
CP141118.1,mRNA,187188,189035,+,mRNA,cpbgf_100610,U3 small nucleolar RNA-associated protein 11,cgd1_610,direct_name,
CP141118.1,mRNA,188193,189761,+,mRNA,cpbgf_100620,Uncharacterized protein,cgd1_620,direct_name,
CP141118.1,mRNA,189733,191476,+,mRNA,cpbgf_100630,Uncharacterized protein,cgd1_630,direct_name,
CP141118.1,mRNA,191501,195970,-,mRNA,cpbgf_100640,Signal peptide region containing protein,cgd1_640,direct_name,
CP141118.1,lnc_RNA,193763,196157,+,ncRNA,cpbgf_100643,lncRNA,None,None,
CP141118.1,lnc_RNA,196671,196935,+,ncRNA,cpbgf_100647,lncRNA,None,None,
CP141118.1,tRNA,196673,196771,-,tRNA,cpbgf_100645,tRNA-Leu,None,None,
CP141118.1,mRNA,197074,200895,-,mRNA,cpbgf_100650,putative Secreted Protein (CpLSP gene family),cgd1_650,direct_name,
CP141118.1,mRNA,201263,203390,-,mRNA,cpbgf_100660,Signal peptide region containing protein,cgd1_660,direct_name,
CP141118.1,mRNA,202831,207252,+,mRNA,cpbgf_100670,Signal peptide region containing protein,cgd1_670,direct_name,
CP141118.1,mRNA,207450,209410,-,mRNA,cpbgf_100680,Uncharacterized protein,cgd1_680,direct_name,
CP141118.1,mRNA,209436,211409,+,mRNA,cpbgf_100690,Uncharacterized protein,cgd1_690,direct_name,
CP141118.1,mRNA,211471,216061,+,mRNA,cpbgf_100700,ABC transporter,cgd1_700,direct_name,
CP141118.1,mRNA,215853,219678,-,mRNA,cpbgf_100710,Coiled coil protein,cgd1_710,direct_name,
CP141118.1,mRNA,219978,220790,+,mRNA,cpbgf_100720,HAD-like domain containing protein,cgd1_720,direct_name,
CP141118.1,mRNA,220775,221916,-,mRNA,cpbgf_100730,Glutamine cyclotransferase,cgd1_730,direct_name,
CP141118.1,mRNA,222029,222922,-,mRNA,cpbgf_100733,hypothetical protein,cgd1_733,direct_name,
CP141118.1,mRNA,223230,224506,+,mRNA,cpbgf_100740,SPRY/Peptidase C14 p20 domain containing protein,cgd1_740,direct_name,
CP141118.1,mRNA,225064,240804,+,mRNA,cpbgf_100750,Dynein heavy chain,cgd1_750,direct_name,
CP141118.1,mRNA,240980,243799,-,mRNA,cpbgf_100760,Dual specificity phosphatase,cgd1_760,direct_name,
CP141118.1,lnc_RNA,241165,243758,+,ncRNA,cpbgf_100755,lncRNA,None,None,
CP141118.1,mRNA,243976,245627,+,mRNA,cpbgf_100770,Tetratricopeptide-like helical protein,cgd1_770,direct_name,
CP141118.1,lnc_RNA,244660,246106,-,ncRNA,cpbgf_100775,lncRNA,None,None,
CP141118.1,mRNA,246453,247397,+,mRNA,cpbgf_100780,Uncharacterized protein,cgd1_780,direct_name,
CP141118.1,mRNA,247610,252540,+,mRNA,cpbgf_100790,Uncharacterized protein,cgd1_790,direct_name,
CP141118.1,mRNA,252935,255388,+,mRNA,cpbgf_100800,Protein disulfide isomerase,cgd1_800,direct_name,
CP141118.1,mRNA,255451,257362,-,mRNA,cpbgf_100810,Protein kinase,cgd1_810,direct_name,
CP141118.1,mRNA,258320,260771,+,mRNA,cpbgf_100820,Palmitoyltransferase,cgd1_820,direct_name,
CP141118.1,lnc_RNA,258366,259586,-,ncRNA,cpbgf_100813,lncRNA,None,None,
CP141118.1,lnc_RNA,259721,260742,-,ncRNA,cpbgf_100815,lncRNA,None,None,
CP141118.1,mRNA,260941,264164,+,mRNA,cpbgf_100830,Sen1p/ NAM7 like superfamily I RNA helicase,cgd1_830,direct_name,
CP141118.1,mRNA,264375,265306,-,mRNA,cpbgf_100840,Meiotic nuclear division protein 1,cgd1_840,direct_name,
CP141118.1,mRNA,265562,266107,-,mRNA,cpbgf_100843,Uncharacterized protein,cgd1_843,direct_name,
CP141118.1,mRNA,266710,267469,+,mRNA,cpbgf_100850,40S ribosomal protein S19,cgd1_850,direct_name,
CP141118.1,mRNA,267631,268192,-,mRNA,cpbgf_100860,Ubiquitin domain containing protein,cgd1_860,direct_name,
CP141118.1,mRNA,268338,269585,-,mRNA,cpbgf_100870,Peptidyl-prolyl cis-trans isomerase,cgd1_870,direct_name,
CP141118.1,mRNA,269770,271143,+,mRNA,cpbgf_100880,Eukaryotic initiation factor 4A,cgd1_880,direct_name,
CP141118.1,mRNA,271652,276120,-,mRNA,cpbgf_100890,Protein kinase domain containing protein,cgd1_890,direct_name,
CP141118.1,mRNA,276202,276519,+,mRNA,cpbgf_100900,Uncharacterized protein,cgd1_900,direct_name,
CP141118.1,tRNA,276985,277067,+,tRNA,cpbgf_100905,tRNA-Lys,None,None,
CP141118.1,mRNA,277798,278874,+,mRNA,cpbgf_100910,AN1-type and A20-type Zinc finger,cgd1_910,direct_name,
CP141118.1,mRNA,279165,281067,+,mRNA,cpbgf_100920,Actin,cgd1_920,direct_name,
CP141118.1,mRNA,281540,282502,+,mRNA,cpbgf_100930,U2 snrnp-specific A protein,cgd1_930,direct_name,
CP141118.1,mRNA,282635,283301,-,mRNA,cpbgf_100940,Uncharacterized protein,cgd1_940,direct_name,
CP141118.1,mRNA,284207,285816,+,mRNA,cpbgf_100950,Ankyrin repeat protein,cgd1_950,direct_name,
CP141118.1,mRNA,285863,288039,-,mRNA,cpbgf_100960,RING finger containing protein,cgd1_960,direct_name,
CP141118.1,mRNA,289311,292122,+,mRNA,cpbgf_100970,RING finger containing protein,cgd1_970,direct_name,
CP141118.1,lnc_RNA,292723,293100,+,ncRNA,cpbgf_100975,lncRNA,None,None,
CP141118.1,mRNA,293228,295345,-,mRNA,cpbgf_100980,RNase L inhibitor-like protein,cgd1_980,direct_name,
CP141118.1,mRNA,295829,299401,-,mRNA,cpbgf_100990,Pyridine nucleotide/ NAD(P) transhydrogenase alpha plus beta subunit,cgd1_990,direct_name,
CP141118.1,lnc_RNA,295829,297572,+,ncRNA,cpbgf_100985,lncRNA,None,None,
CP141118.1,lnc_RNA,299568,300246,+,ncRNA,cpbgf_100995,lncRNA,None,None,
CP141118.1,mRNA,299637,300623,-,mRNA,cpbgf_1001000,Uncharacterized protein,cgd1_1000,direct_name,
CP141118.1,mRNA,301444,302216,+,mRNA,cpbgf_1001010,Uncharacterized protein,cgd1_1010,direct_name,
CP141118.1,mRNA,302622,303669,+,mRNA,cpbgf_1001020,Ribonuclease H2 subunit B,cgd1_1023,no_direct_name,consistency
CP141118.1,mRNA,303728,306021,-,mRNA,cpbgf_1001030,Uncharacterized protein,cgd1_1040,no_direct_name,gene split
CP141118.1,mRNA,306808,307434,+,mRNA,cpbgf_1001040,TB2/DP1/HVA22-related protein,cgd1_1040,direct_name,
CP141118.1,mRNA,306873,310542,-,mRNA,cpbgf_1001050,Armadillo-type fold protein,cgd1_1050,direct_name,
CP141118.1,mRNA,311038,311414,+,mRNA,cpbgf_1001060,hypothetical protein,cgd1_1060,direct_name,
CP141118.1,mRNA,311386,312044,-,mRNA,cpbgf_1001070,Uncharacterized protein,cgd1_1070,direct_name,
CP141118.1,mRNA,312155,313183,+,mRNA,cpbgf_1001080,Alpha beta hydrolase,cgd1_1080,direct_name,
CP141118.1,mRNA,313348,315840,+,mRNA,cpbgf_1001090,Uncharacterized protein,cgd1_1090,direct_name,
CP141118.1,mRNA,316259,319883,+,mRNA,cpbgf_1001100,X-Pro dipeptidyl-peptidase,cgd1_1100,direct_name,
CP141118.1,mRNA,320083,321757,+,mRNA,cpbgf_1001110,Phosphatidyl serine synthase,cgd1_1110,direct_name,
CP141118.1,mRNA,322209,324127,+,mRNA,cpbgf_1001120,ENTH domain containing protein,cgd1_1120,direct_name,
CP141118.1,mRNA,324367,325202,+,mRNA,cpbgf_1001130,SF-assemblin/beta giardin domain-containing protein,cgd1_1130,direct_name,
CP141118.1,mRNA,325005,327312,-,mRNA,cpbgf_1001150,Uncharacterized protein,cgd1_1150,direct_name,
CP141118.1,mRNA,325380,326563,+,mRNA,cpbgf_1001140,Acyl-CoA-binding protein ACBP with Ankyrin repeat,cgd1_1140,direct_name,
CP141118.1,mRNA,327506,328399,+,mRNA,cpbgf_1001160,Signal peptide region containing protein,cgd1_1160,direct_name,
CP141118.1,mRNA,328559,329683,-,mRNA,cpbgf_1001170,Ubiquitin carboxyl-terminal hydrolase,cgd1_1170,direct_name,
CP141118.1,mRNA,329805,333006,-,mRNA,cpbgf_1001190,RAD54 like SWI/SNF2 ATpase,cgd1_1190,direct_name,
CP141118.1,mRNA,332603,332926,+,mRNA,cpbgf_1001180,Uncharacterized protein,cgd1_1180,direct_name,
CP141118.1,mRNA,333140,336095,-,mRNA,cpbgf_1001210,Uncharacterized protein,cgd1_1210,direct_name,
CP141118.1,mRNA,333253,335658,+,mRNA,cpbgf_1001200,Uncharacterized protein,cgd1_1200,direct_name,
CP141118.1,mRNA,336613,339586,+,mRNA,cpbgf_1001220,Serine/threonine-protein kinase,cgd1_1220,direct_name,
CP141118.1,lnc_RNA,336953,338907,-,ncRNA,cpbgf_1001215,lncRNA,None,None,
CP141118.1,mRNA,339119,342316,-,mRNA,cpbgf_1001230,Signal peptide region containing protein,cgd1_1230,direct_name,
CP141118.1,lnc_RNA,342446,344468,+,ncRNA,cpbgf_1001235,lncRNA,None,None,
CP141118.1,mRNA,342670,344534,-,mRNA,cpbgf_1001240,Sec14 domain containing protein,cgd1_1240,direct_name,
CP141118.1,lnc_RNA,344586,348381,-,ncRNA,cpbgf_1001245,lncRNA,None,None,
CP141118.1,mRNA,344846,352711,+,mRNA,cpbgf_1001250,putative Secreted Protein (CpLSP gene family),cgd1_1250,direct_name,
CP141118.1,mRNA,351008,355158,-,mRNA,cpbgf_1001270,Uncharacterized protein,cgd1_1270,direct_name,
CP141118.1,mRNA,353739,355122,+,mRNA,cpbgf_1001260,PPPDE peptidase/PUB domain containing protein,cgd1_1260,direct_name,
CP141118.1,mRNA,355302,356787,+,mRNA,cpbgf_1001280,K-homology type RNA binding protein,cgd1_1280,direct_name,
CP141118.1,mRNA,355306,361438,-,mRNA,cpbgf_1001300,Spindly like TPR repeat containing protein,cgd1_1300,direct_name,
CP141118.1,mRNA,356807,358047,+,mRNA,cpbgf_1001290,Apicomplexa specific secreted protein Pf (23508265),cgd1_1290,direct_name,
CP141118.1,mRNA,360515,362979,+,mRNA,cpbgf_1001310,Cleavage stimulation factor with RNA recognition motif domain,cgd1_1310,direct_name,
CP141118.1,mRNA,363104,363830,+,mRNA,cpbgf_1001320,Developmental protein,cgd1_1320,direct_name,
CP141118.1,mRNA,364151,366870,+,mRNA,cpbgf_1001330,SWI/SNF-related matrix associated actin-dependent regulator of chromatin subfamily A with DEAD/H box 1,cgd1_1330,direct_name,
CP141118.1,mRNA,366425,369963,-,mRNA,cpbgf_1001340,VDP/USO1/YBL047C family vesicular transport factor,cgd1_1340,direct_name,
CP141118.1,mRNA,370056,372486,+,mRNA,cpbgf_1001350,ATM1-like ABC transporter,cgd1_1350,direct_name,
CP141118.1,mRNA,372472,373017,-,mRNA,cpbgf_1001360,ABC-transporter,cgd1_1360,direct_name,
CP141118.1,mRNA,373462,374407,-,mRNA,cpbgf_1001370,EF-hand domain containing protein,cgd1_1370,direct_name,
CP141118.1,mRNA,374517,375767,-,mRNA,cpbgf_1001380,Palmitoyltransferase,cgd1_1380,direct_name,
CP141118.1,mRNA,375882,377550,+,mRNA,cpbgf_1001390,Uncharacterized protein,cgd1_1390,direct_name,
CP141118.1,mRNA,377520,380583,-,mRNA,cpbgf_1001400,Uncharacterized protein,cgd1_1400,direct_name,
CP141118.1,mRNA,380705,381885,+,mRNA,cpbgf_1001410,Uncharacterized protein,cgd1_1410,direct_name,
CP141118.1,mRNA,381983,383951,-,mRNA,cpbgf_1001420,DNA repair and meiosis protein Mre11,cgd1_1420,direct_name,
CP141118.1,mRNA,383969,386120,+,mRNA,cpbgf_1001440,Uncharacterized protein,cgd1_1433,no_direct_name,Consistency
CP141118.1,mRNA,385371,388120,-,mRNA,cpbgf_1001450,Signal peptide region containing protein,cgd1_1450,direct_name,
CP141118.1,mRNA,387774,391696,+,mRNA,cpbgf_1001460,Uncharacterized protein,cgd1_1460,direct_name,
CP141118.1,lnc_RNA,389169,391653,-,ncRNA,cpbgf_1001455,lncRNA,None,None,
CP141118.1,mRNA,391717,394831,+,mRNA,cpbgf_1001470,Uncharacterized protein,cgd1_1470,direct_name,
CP141118.1,mRNA,393885,394865,-,mRNA,cpbgf_1001480,membrane associated protein,cgd1_1480,direct_name,
CP141118.1,lnc_RNA,394897,396592,+,ncRNA,cpbgf_1001485,lncRNA,None,None,
CP141118.1,mRNA,395107,397068,-,mRNA,cpbgf_1001490,NEK2 protein,cgd1_1490,direct_name,
CP141118.1,mRNA,397034,397993,+,mRNA,cpbgf_1001500,Uncharacterized protein,cgd1_1500,direct_name,
CP141118.1,mRNA,397567,398922,-,mRNA,cpbgf_1001510,Signal peptide region containing protein,cgd1_1510,direct_name,
CP141118.1,mRNA,399376,408472,+,mRNA,cpbgf_1001520,Extracellular membrane associated protein with signal peptide/EGF domai/ephrin-receptor like domain,cgd1_1520,direct_name,
CP141118.1,mRNA,408568,410351,-,mRNA,cpbgf_1001530,Rpn5 like 26S proteasomal regulatory subunit 12 with PCI domain,cgd1_1530,direct_name,
CP141118.1,mRNA,410583,412898,-,mRNA,cpbgf_1001540,Dynein intermediate chain,cgd1_1540,direct_name,
CP141118.1,mRNA,413220,415368,+,mRNA,cpbgf_1001550,Uncharacterized protein,cgd1_1550,direct_name,
CP141118.1,mRNA,415359,416714,-,mRNA,cpbgf_1001560,transcription factor E2F/dimerization partner (TDP),cgd1_1560,direct_name,
CP141118.1,mRNA,416823,418816,+,mRNA,cpbgf_1001570,Uncharacterized Protein,cgd1_1570,direct_name,
CP141118.1,mRNA,418852,421798,-,mRNA,cpbgf_1001580,CCCH-type Zinc finger protein,cgd1_1580,direct_name,
CP141118.1,mRNA,422180,423520,+,mRNA,cpbgf_1001590,Uncharacterized protein,cgd1_1590,direct_name,
CP141118.1,mRNA,423525,423940,+,mRNA,cpbgf_1001600,HIT-like domain containing protein,cgd1_1600,direct_name,
CP141118.1,mRNA,424028,426447,+,mRNA,cpbgf_1001610,Uncharacterized protein,cgd1_1610,direct_name,
CP141118.1,mRNA,425544,426605,-,mRNA,cpbgf_1001620,RPB7 like OB fold RNA polymerase subunit,cgd1_1620,direct_name,
CP141118.1,tRNA,426601,426711,-,tRNA,cpbgf_1001623,tRNA-His,None,None,
CP141118.1,lnc_RNA,426693,427478,+,ncRNA,cpbgf_1001625,lncRNA,None,None,
CP141118.1,mRNA,426748,428004,-,mRNA,cpbgf_1001630,Uncharacterized protein,cgd1_1630,direct_name,
CP141118.1,mRNA,428062,437162,+,mRNA,cpbgf_1001640,PHD-finger/AT hook containing chromatin protein,cgd1_1640,direct_name,
CP141118.1,mRNA,437208,438038,+,mRNA,cpbgf_1001650,Uncharacterized protein,cgd1_1650,direct_name,
CP141118.1,mRNA,438005,438596,-,mRNA,cpbgf_1001660,60S ribosomal protein L36,cgd1_1660,direct_name,
CP141118.1,mRNA,438696,440429,+,mRNA,cpbgf_1001670,Bystin/En1p like adaptor domain containing protein,cgd1_1670,direct_name,
CP141118.1,mRNA,439779,443459,-,mRNA,cpbgf_1001680,Insulinase like protease,cgd1_1680,direct_name,
CP141118.1,mRNA,443603,445897,-,mRNA,cpbgf_1001690,PHD finger containing protein,cgd1_1690,direct_name,
CP141118.1,mRNA,446001,448993,-,mRNA,cpbgf_1001700,GATA zinc finger/AT hook containing protein,cgd1_1700,direct_name,
CP141118.1,lnc_RNA,446013,447972,+,ncRNA,cpbgf_1001695,lncRNA,None,None,
CP141118.1,mRNA,449016,449958,-,mRNA,cpbgf_1001710,Phosphoglycerate mutase,cgd1_1710,direct_name,
CP141118.1,mRNA,450032,455651,+,mRNA,cpbgf_1001720,SpoU type tRNA/rRNA methyltransferase,cgd1_1720,direct_name,
CP141118.1,mRNA,454884,456756,-,mRNA,cpbgf_1001730,haloacid dehalogenase-like hydrolase,cgd1_1730,direct_name,
CP141118.1,mRNA,456817,457689,-,mRNA,cpbgf_1001740,DDRGK domain containing protein,cgd1_1740,direct_name,
CP141118.1,mRNA,457792,459330,+,mRNA,cpbgf_1001750,putative transmembrane Protein,cgd1_1750,direct_name,
CP141118.1,mRNA,458794,460460,-,mRNA,cpbgf_1001760,Cdc50p like membrane protein,cgd1_1760,direct_name,
CP141118.1,mRNA,460595,461147,-,mRNA,cpbgf_1001770,Rab5-interacting protein,cgd1_1770,direct_name,
CP141118.1,mRNA,461105,462702,-,mRNA,cpbgf_1001780,Uncharacterized protein,cgd1_1780,direct_name,
CP141118.1,lnc_RNA,461225,465366,+,ncRNA,cpbgf_1001795,lncRNA,None,None,
CP141118.1,mRNA,463128,465312,-,mRNA,cpbgf_1001790,RING domain containing membrane associated protein,cgd1_1790,direct_name,
CP141118.1,mRNA,465333,466872,-,mRNA,cpbgf_1001800,Transducin/WD-40 repeat containing protein,cgd1_1800,direct_name,
CP141118.1,mRNA,467059,469080,+,mRNA,cpbgf_1001810,Uncharacterized protein,cgd1_1810,direct_name,
CP141118.1,mRNA,469032,470667,-,mRNA,cpbgf_1001820,putative transmembrane Protein,cgd1_1820,direct_name,
CP141118.1,mRNA,470739,471699,+,mRNA,cpbgf_1001830,TB2/DP1/HVA22 family integral membrane protein,cgd1_1830,direct_name,
