geneID,sex,group,description,notes,,,,,,,,,,
cgd6_5340,female,Secretory Proteins,Uncharacterized Secreted Protein (HCD gene family),"Signal peptide, (HCD=cholesterol processing?), medium protein",,,,,,,,,,
cgd7_1290,female,Secretory Proteins,Uncharacterized protein,"Signal peptide, medium protein",,,,,,,,,,
cgd8_2680,female,Secretory Proteins,Uncharacterized protein,"Signal peptide, small protein",,,,,,,,,,
cgd8_1160,female,Secretory Proteins,Uncharacterized Secreted Protein,"Signal peptide and C terminal transmembrane domain. Long strech of Ts (glycosylation?), medium protein", ,,,,,,,,,
cgd5_743,female,Secretory Proteins,Uncharacterized protein,"Signal peptide, medium protein",,,,,,,,,,
cgd1_260,female,Secretory Proteins,Signal peptide region containing protein,"Signal peptide, medium protein",,,,,,,,,,
cgd4_4270,female,Secretory Proteins,Uncharacterized protein,"Signal peptide, medium protein",,,,,,,,,,
cgd5_1220,female,Secretory Proteins,Uncharacterized protein,"Signal peptide , medium protein",,,,,,,,,,
cgd5_3930,female,Secretory Proteins,Uncharacterized protein,"Signal peptide, small protein",,,,,,,,,,
cgd7_5450,female,Secretory Proteins,Uncharacterized protein,"Signal peptide and central transmembrane domain, medium protein",,,,,,,,,,
cgd8_3670,female,Secretory Proteins,Uncharacterized Secreted Protein,"Transmembrane domain towards N terminus, small protein",,,,,,,,,,
cgd7_4880,female,Secretory Proteins,Uncharacterized Protein,"Signal peptide and N terminal and C terminal transmembrane domains, small protein",,,,,,,,,,
cgd2_3913,female,Secretory Proteins,Uncharacterized protein,"Signal peptide, small protein",,,,,,,,,,
cgd4_1133,female,Secretory Proteins,Uncharacterized protein,"Signal peptide and transmembrane domain towards N terminus, small protein",,,,,,,,,,
cgd4_2553,female,Secretory Proteins,Uncharacterized protein,"Signal peptide and 4 spanning transmembrane domains, small protein",,,,,,,,,,
cgd7_400,female,Secretory Proteins,Uncharacterized protein,"Signal peptide, medium protein, long 5' UTR",,,,,,,,,,
cgd8_3133,female,Secretory Proteins,Uncharacterized protein,"Signal peptide, long 3' UTR, small protein",,,,,,,,,,
cgd4_1620,female,Proteins with Binding & Interacting domains,unspecified product,Medium protein that contains a domain of unknown function DUF4392,,,,,,,,,,
cgd4_3720,female,Proteins with Binding & Interacting domains,Uncharacterized protein with Tetratricopeptide repeat,"N terminal Tetratricopeptide-like helical domain, large protein",,,,,,,,,,
cgd2_1230,female,Proteins with Binding & Interacting domains,Uncharacterized protein with Armadillo-type fold,"Spanning Armadillo type fold (substrate binding, largely proteins and nucleic acids), medium protein",,,,,,,,,,
cgd6_170,female,Proteins with Binding & Interacting domains,Synaptobrevin-like protein,"Transmembrane domain towards C terminus, spanning Snaptobrevin (SNARE, vesicle trafficking), N terminal and Longin domain (VAMP)",,,,,,,,,,
cgd4_1450,female,Proteins with Binding & Interacting domains,Uncharacterized protein,"2 transmembrane domains towards C terminus, Fibrion heavy chain FIB like subfamily 6 by PANTHER (Glycine rich cell wall strucutral protein), large protein",,,,,,,,,,
cgd4_400,female,Proteins with Binding & Interacting domains,Tetratricopeptide repeat-containing protein,"Central tetratricopeptide repeat (protein-protein interactions), medium protein",,,,,,,,,,
cgd6_3330,female,Proteins with Binding & Interacting domains,SPX/VTC domain containing protein,"3 transmembrane domains C terminal, SPX domain (signal transduction) towards N terminus, C terminal DUF202, large protein",,,,,,,,,,
cgd6_4590,female,Proteins with Binding & Interacting domains,Ankyrin repeat-containing protein,"Central to C terminal Ankyrin repeat domain (protein-protein interaction), medium protein",,,,,,,,,,
cgd8_2950,female,Proteins with Binding & Interacting domains,Yh1017wp/PTM1-like protein,"8 transmembrane domains N terminal to central, central GPR107/GPR108-like (G protein coupled receptor like), medium protein",,,,,,,,,,
cgd8_4860,female,Proteins with Binding & Interacting domains,Uncharacterized protein with WD40 repeat,"Signal peptide and WD40 domain called by orthology (protein-protein interaction), medium protein",,,,,,,,,,
cgd3_440,female,Proteins with Binding & Interacting domains,C-type lectin containing protein,Central transmembrane domain and lectin by homology ,,,,,,,,,,
cgd1_1910,female,Proteins with Binding & Interacting domains,DnaJ domain containing protein,"C terminal DnaJ domain (Hsp family of chaperone proteins), small protein",,,,,,,,,,
cgd8_2800,female,Proteins with Binding & Interacting domains,Signal peptide LNR (Lin-12/Notch) repeat containing protein,"Signal peptide, N terminal transmembrane domain, central Notch like domain, central Phosphotransferase subunits alpha/bets ",,,,,,,,,,
cgd4_4253,female,Proteins with Binding & Interacting domains,Uncharacterized protein with Armadillo-like helical,"Spanning Armadillo fold (substrate binding, largely proteins and nucleic acids), medium protein",,,,,,,,,,
cgd8_730,female,Proteins with Binding & Interacting domains,Modulator of levamisole receptor-1,"Signal peptide, central transmembrane domain, towards N terminus Modulator of levamisole receptor-1 (regulator of acetylcholine receptor?)",,,,,,,,,,
cgd6_1340,female,Proteins with Binding & Interacting domains,Calycin/START domain containing protein,"7 transmembrane domains towards N terminus, C terminal START domain (lipid binding), large protein",,,,,,,,,,
cgd6_1840,female,Cell cycle ,CBS/Cyclin M2-like membrane-associated protein,"5 transmembrane domains towards the N terminus, central CBS domain (membrane association), Cyclin by homology",,,,,,,,,,
cgd2_3890,female,Cell cycle ,Serine/threonine-protein kinase,"Spanning protein-kinase like domain, medium protein",,,,,,,,,,
cgd5_4390,female,Cell cycle ,Serine/threonine protein kinase,"Central to C terminal protein kinase, medium protein",,,,,,,,,,
cgd7_3760,female,Cell cycle ,Protein kinase domain containing protein,"Spanning protein kinase-like domain and central Serine/threonine-protein kinase active site, small protein",,,,,,,,,,
cgd5_2660,female,Enzymes of various functions ,Peptidase M16 C-terminal domain containing protein,"Peptidase domain called by homology , large protein",,,,,,,,,,
cgd8_4740,female,Enzymes of various functions ,4'-phosphopantetheinyl transferase,"Central to C terminal 4'-phosphopantetheinyl transferase domain, medium protein",,,,,,,,,,
cgd8_3680,female,Enzymes of various functions ,Acetyl-CoA carboxylase,Spanning Acetyl-CoA carboxylase ,,,,,,,,,,
cgd7_2320,female,Enzymes of various functions ,Thioesterase of the a/b hydrolase,"Spanning Alpha/Beta hydrolase fold, N terminal Thioesterase type II, medium protein ",,,,,,,,,,
cgd7_680,female,Enzymes of various functions ,O-acyltransferase WSD1 C-terminal domain containing protein,N terminal transmembrane domain and C terminal O-acyltransferase WSD1 domain ,,,,,,,,,,
cgd3_2180,female,Enzymes of various functions ,Type I fatty acid synthase,"Spanning Thiolase-like domain (fatty acid biosynthesis), C terminal NAD_binding_4  domain (male sterility), very large (8000+ AA)",,,,,,,,,,
cgd3_80,female,Enzymes of various functions ,Adenosylhomocysteinase,"Spanning Formate/glycerate dehydrogenase domain (redox?), spanning Adenosylhomocysteinase-like (methyl cycle of nucleotides) and towards C terminus NAD(P)-binding Rossmann-fold domain",,,,,,,,,,
cgd3_3430,female,Enzymes of various functions ,Amine oxidase,"Signal peptide, N terminal Concanavalin A-like lectin/glucanase domain (glycoprotein attachment), C terminal Copper amine oxidase catalytic domain (oxidation)",,,,,,,,,,
cgd4_910,female,Enzymes of various functions ,Histidine phosphatase superfamily clade-2,"Signal peptide and spanning histidine phosphatase, medium protein",,,,,,,,,,
cgd7_1810,female,Enzymes of various functions ,Chitobiosyldiphosphodolichol beta-mannosyltransferase ALG1-like,"N terminal transmembrane domain, C terminal Glycosyltransferase/glycogen phosphorylase, spanning Chitobiosyldiphosphodolichol beta-mannosyltransferase ALG1-like ",,,,,,,,,,
cgd7_2990,female,Enzymes of various functions ,Inositol polyphosphate kinase,Spanning Inositol polyphosphate kinase domain,,,,,,,,,,
cgd7_4780,female,Enzymes of various functions ,Glutathione S-transferase,"Spanning Glutathione S-transferase, C-terminal domain (detoxification?)",,,,,,,,,,
cgd3_2870,female,Enzymes of various functions ,acyl_CoA synthetases,"Spanning Acetyl-CoA synthetase-like, central AMP-dependent synthetase",,,,,,,,,,
cgd1_280,female,Enzymes of various functions ,Short-chain dehydrogenase/reductase SDR,"N terminal transmembrane domain, spanning NAD(P)-binding Rossmann-fold domains, and towards N terminal Short chain dehydrogenase (oxidoreductases)",,,,,,,,,,
cgd2_210,female,Enzymes of various functions ,Glycerol-3-phosphate dehydrogenase [NAD(+)],"Spanning NAD(P)-binding Rossmann-fold domains, Dehydrogenase ",,,,,,,,,,
cgd3_1580,female,Enzymes of various functions ,Alpha glucosidase-like faimly 31 glycosyl hydrolases,"Spanning Galactose mutarotase-like domain (galactose conversion), Alpha glucosidase (breakdown of glucose)",,,,,,,,,,
cgd4_4000,female,Enzymes of various functions ,Diamine acetyltransferase,"Spanning Acyl-CoA N-acyltransferase, central GNAT domain (subset of acetyltransferases)",,,,,,,,,,
cgd6_3720,female,Enzymes of various functions ,Pyrroline-5-carboxylate reductase,Spanning carboxylate reductase (last step in proline from glutatmine synthesis),,,,,,,,,,
cgd8_2370,female,Enzymes of various functions ,Adenosine kinase/Carbohydrate kinase PfkB,"Spanning Ribokinase-like, Carbohydrate kinase, and spanning Adenosine kinase ",,,,,,,,,,
cgd8_1720,female,Enzymes of various functions ,Aldehyde/Alcohol dehydrogenase,"Spanning aldehyde/histidinol dehydrogenase (Iron type), large protein",,,,,,,,,,
cgd7_270,female,Enzymes of various functions ,AD/NAD(P)-binding domain containing protein,"Central to C terminal FAD/NAD(P) binding domain, C terminal Amine oxidase domain",,,,,,,,,,
cgd8_1700,female,Enzymes of various functions , Iron-containing alcohol dehydrogenase,"Spanning Alcohol dehydrogenase (iron-type/glycerol dehydrogenase), and spanning Dehydroquinate synthase-like domain",,,,,,,,,,
cgd5_4380,female,Enzymes of various functions ,RmlC-like jelly roll fold containing protein,"RmlC-like jelly roll fold called by homology (sugar isomerization), small protein",,,,,,,,,,
cgd7_3120,female,Enzymes of various functions ,Thiamine pyrophosphate enzyme,"Towards C terminus transmembrane domain, central NAD/FAD-binding domain, and spanning Thiamine pyrophosphate (TPP)-dependent enzyme domain",,,,,,,,,,
cgd4_1910,female,Enzymes of various functions ,Alpha/Beta hydrolase fold-containing protein,"Towards N terminus transmembrane domain, central Domain of unknown function DUF676, lipase-like, central Alpha/beta hydrolase, medium protein",,,,,,,,,,
cgd4_300,female,Enzymes of various functions ,Alpha/Beta hydrolase,"Central to C terminal Alpha/beta hydrolase, medium protein",,,,,,,,,,
cgd8_5050,female,Enzymes of various functions ,Palmitoyltransferase,"4 transmembrane domains, central DHHC Palmitoyltransferase domain, and spanning Zinc finger DHHC domain ",,,,,,,,,,
cgd3_2730,female,ATPase ,Phospholipid-transporting ATPase,10 transmembrane domains and P-type ATPase with central HAD domain,,,,,,,,,,
cgd4_2720,female,ATPase ,p-type Atpase,8 transmembrane domains and P-type ATPase with central HAD domain ,,,,,,,,,,
cgd3_3740,female,ATPase ,p-type ATPase 2,6 Transmembrane domains and P-type ATPase with central HAD domain ,,,,,,,,,,
cgd1_2370,female,Mitochondria ,Mitochondrial carrier domain containing protein,"4 spanning transmembrane domains, spanning mitochondrial carrier domain (transport across mitochondiral membranes)",,,,,,,,,,
cgd8_2360,female,Mitochondria ,Romo1/Mgr2,"2 central transmembrane domains, central Romo1/Mgr2 (mitochondria, ROS response), small protein",,,,,,,,,,
cgd1_3550,female,Oocyst Wall (identified via spatial proteomics),Apple domain containing protein,Central Apple domain (protein-protein or protein-carbohydrate interactions),,,,,,,,,,
cgd7_4310,female,Oocyst Wall (identified via spatial proteomics),"Cysteine-rich secretory protein, allergen V5/Tpx-1-related",Signal peptide and CAP domain (N term and central),,,,,,,,,,
cgd1_800,female,Oocyst Wall (identified via spatial proteomics),Protein disulfide isomerase,"Signal peptide, central thioredoxin domain (redox enxyme)",,,,,,,,,,
cgd3_3700,female,Oocyst Wall (identified via spatial proteomics),Uncharacterized protein,"N terminal transmembrane domain, large protein",,,,,,,,,,
cgd7_4560,female,Oocyst Wall (identified via spatial proteomics),Sushi/SCR/CCP/SbsA/lg-like domain containing protein,C terminal transmembrane domain and central Sushi domain (recognition process?),,,,,,,,,,
cgd2_1590,female,Oocyst Wall (identified via spatial proteomics),Apple/EGF_like/Apple domain containing extracellular protein,"N terminal growth factor receptor domain (cysteine rich), EGF like calcium binding domain (extracellular, protein-protein interactions), Apple domain (protein-protein or protein-carbohydrate interactions)",,,,,,,,,,
cgd4_3090,female,Oocyst Wall (identified via spatial proteomics),Oocyst wall protein 6,"N terminal growth factor receptor domain (cysteine rich), N terminal EGF like calcium binding domain (extracellular, protein-protein interactions), Central apple domain (protein-protein or protein-carbohydrate interactions)",,,,,,,,,,
cgd8_4830,female,Oocyst Wall (identified via spatial proteomics),"Signal peptide, Kazal-type serine protease inhibitor domain containing protein","Signal peptide and N terminal Kazal domain (serine protease inhibitor) and Follistatin domain (cell cycle, growth?)",,,,,,,,,,
cgd2_4350,female,Oocyst Wall (identified via spatial proteomics),Patched family protein,10 transmembrane domains and Patched family protein (Hedgehog signaling pathway),,,,,,,,,,
cgd3_1860,female,Oocyst Wall (identified via spatial proteomics),EGF-like domain containing extracellular protein,Central EGF domain and central Growth factor receptor domain (cysteine rich),,,,,,,,,,
cgd6_3730,female,Oocyst Wall (identified via spatial proteomics),"Signal peptide, Peptidase S8/S53 domain containing protein","C terminal transmembrane and signal peptide and central Peptidase domain, large protein",,,,,,,,,,
cgd2_2510,female,Oocyst Wall (identified via spatial proteomics),Glucose-methanol-choline oxidoreductase,Signal peptide and N terminal to central FAD/NAD(P) binding domain,,,,,,,,,,
cgd2_850,female,Oocyst Wall (identified via spatial proteomics),Uncharacterized protein,"Signal peptide, medium protein",,,,,,,,,,
cgd4_500,female,Oocyst Wall (identified via spatial proteomics),Oocyst wall protein 7,Growth factor receptor domain (cysteine rich) near N terminus,,,,,,,,,,
cgd6_210,female,Oocyst Wall (identified via spatial proteomics),Oocyst wall protein 9,"Signal peptide, large protein",,,,,,,,,,
cgd6_4840,female,Oocyst Wall (identified via spatial proteomics),"Serine protease, subtilase family, signal peptide",Signal peptide and central subtilisin-peptidase domains,,,,,,,,,,
cgd6_670,female,Oocyst Wall (identified via spatial proteomics),"Aspartic acid and asparagine hydroxylation/Peptidase C11, clostripain domain contining protein","C terminal transmembrane domain, C11 peptidase domain N terminal, EGF-like domin towards C terminus, Aspartic acid and asparagine hydroxylation called by orthology",,,,,,,,,,
cgd6_710,female,Oocyst Wall (identified via spatial proteomics),Uncharacterized Secreted Protein,"Signal peptide and N terminal transmembrane domain, medium protein",,,,,,,,,,
cgd7_1800,female,Oocyst Wall (identified via spatial proteomics),Chitin-binding type-2 domain containing protein,"N terminal Transmembrane domain and N terminal growth factor receptor domain (cysteine rich), large protein",,,,,,,,,,
cgd8_2670,female,Oocyst Wall (identified via spatial proteomics),Glucose-methanol-choline oxidoreductase,N terminal transmembrane and signal peptide. Spanning FAD/NAD(P) binding domain  ,,,,,,,,,,
cgd8_3350,female,Oocyst Wall (identified via spatial proteomics),Oocyst wall protein 4,"Signal peptide and central growth factor receptor domain (cysteine rich), large protein",,,,,,,,,,
cgd8_4660,female,Oocyst Wall (identified via spatial proteomics),Uncharacterized protein,"N terminal transmembrane domain, medium protein",,,,,,,,,,
cgd4_670,female,Oocyst Wall (identified via spatial proteomics),Oocyst wall protein 3,"Signal peptide, large protein",,,,,,,,,,
cgd5_3073,female,Oocyst Wall (identified via spatial proteomics),Carboxylic ester hydrolase,Signal peptide and N terminal to central alpha/beta hydrolase fold,,,,,,,,,,
cgd6_2090,female,Oocyst Wall (identified via spatial proteomics),Growth factor receptor cysteine-rich domain containing protein,Signal peptide and N terminal growth factor receptor domain (cysteine rich),,,,,,,,,,
cgd6_2900,female,Oocyst Wall (identified via spatial proteomics),Exostosin-like protein,Central exotosin domain (glycosyltransferase),,,,,,,,,,
cgd7_5150,female,Oocyst Wall (identified via spatial proteomics),Chitin-binding type-2 domain containing protein,"Signal peptide and Chitin binding protein called by orthology, medium protein",,,,,,,,,,
cgd7_850,female,Oocyst Wall (identified via spatial proteomics),Patched family protein/Sterol-sensing domain-containing protein,10 transmembrane domains and central Patched family protein (Hedgehog signaling pathway),,,,,,,,,,
cgd8_5080,female,Oocyst Wall (identified via spatial proteomics),Uncharacterized protein,"Signal peptide, medium protein",,,,,,,,,,
cgd3_1540,female,Oocyst Wall (identified via spatial proteomics),Signal peptide containing protein ,"Signal peptide and C terminal MANSC domain (growth factor binding?), large protein",,,,,,,,,,
cgd6_4440,female,Oocyst Wall (identified via spatial proteomics),Uncharacterized protein,"N terminal transmembrane domain, medium protein",,,,,,,,,,
cgd8_4230,female,Oocyst Wall (identified via spatial proteomics),Glucose-methanol-choline oxidoreductase,Signal peptide and spanning FAD/NAD(P) binding domain  ,,,,,,,,,,
cgd8_5090,female,Oocyst Wall (identified via spatial proteomics),Uncharacterized protein,"N terminal transmembrane domain, medium protein",,,,,,,,,,
cgd3_190,female,Oocyst Wall (identified via spatial proteomics),Fibrillin/EGF-like calcium-binding conserved site-containing protein,"C terminal EFG calcium binding, medium protein",,,,,,,,,,
cgd6_200,female,Oocyst Wall (identified via spatial proteomics),Oocyst wall protein 8,"Signal peptide, medium protein",,,,,,,,,,
cgd2_2100,female,Crystalloid Body (identified via spatial proteomics),Uncharacterized protein,"Signal peptide and N terminal transmembrane domain, small protein ",,,,,,,,,,
cgd2_2110,female,Crystalloid Body (identified via spatial proteomics),Uncharacterized protein,"N terminal transmembrane domain, small protein",,,,,,,,,,
cgd6_820,female,Crystalloid Body (identified via spatial proteomics),Uncharacterized Secreted Protein,"Signal peptide and N terminal transmembrane domain, medium protein",,,,,,,,,,
cgd7_1730,female,Crystalloid Body (identified via spatial proteomics),CpCCp1/Cpa135,"N terminal Ricin B like lectin, central LCCL domain (autonomously folding region), central Fibrinogen-like domain (immue function?)",,,,,,,,,,
cgd7_300,female,Crystalloid Body (identified via spatial proteomics),"CpCCP2 extracellular protein with a signal peptide, ricin, discoidin, NEC, LCCL, 2 levanase and an apicomplexan-specific cysteine-rich repeat (ApicA repeat)","Signal peptide, Galactose binding domain. Towards N terminus, Ricin B like lectin towards N terminus, central LCCL domain (autonomously folding region)",,,,,,,,,,
cgd7_4810,female,Crystalloid Body (identified via spatial proteomics),Fibronectin II collagen-binding/PA14 domain containing protein,"Signal peptide, central PA 14 domain (binding carbohydrate or peptidoglycan)",,,,,,,,,,
cgd7_5140,female,Crystalloid Body (identified via spatial proteomics),Uncharacterized Protein,"Signal peptide, medium protein",,,,,,,,,,
cgd8_4310,female,Crystalloid Body (identified via spatial proteomics),PH domain-like protein,"PH domain by orthology (cell signaling), small protein",,,,,,,,,,
cgd2_790,female,Crystalloid Body (identified via spatial proteomics),LH2/LCCL/SRCR domain containing protein,"N terminal Lipase/Lipooxygenase (Lipid associated protein), LCCL domain (autonomously folding region) towards N terminus, spanning multidomain scavenger receptor like protein",,,,,,,,,,
cgd6_313,female,Crystalloid Body (identified via spatial proteomics),Uncharacterized protein,"No notable features, small protein",,,,,,,,,,
cgd8_4290,female,Crystalloid Body (identified via spatial proteomics),PH domain-like protein,"Signal peptide, PH domain by orthology (cell signaling), small protein",,,,,,,,,,
cgd2_3500,female,Additional Membrane Proteins,Uncharacterized protein,"N terminal and C terminal transmembrane domains, large protein",,,,,,,,,,
cgd5_3980,female,Additional Membrane Proteins,Uncharacterized protein,"Transmembrane domain towards the N terminus, medium protein",,,,,,,,,,
cgd5_4160,female,Additional Membrane Proteins,Uncharacterized protein,"Transmembrane domain towards the N terminus, medium protein",,,,,,,,,,
cgd8_960,female,Additional Membrane Proteins,Uncharacterized protein,"7 transmembrane domains, medium protein",,,,,,,,,,
cgd2_670,female,Additional Membrane Proteins,Uncharacterized protein,"6 transmembrane domains, small protein",,,,,,,,,,
cgd8_4450,female,Additional Membrane Proteins,Uncharacterized protein,"9 transmembrane domains, medium protein",,,,,,,,,,
cgd2_3140,female,Additional Membrane Proteins,Uncharacterized protein,"N terminal transmembrane domain, medium protein",,,,,,,,,,
cgd2_3820,female,Additional Membrane Proteins,Uncharacterized protein,"Transmembrane domain towards N terminus, small protein (108 AA)",,,,,,,,,,
cgd5_3810,female,Additional Membrane Proteins,Uncharacterized protein,"N terminal transmembrane domain, medium protein",,,,,,,,,,
cgd4_1103,female,Additional Membrane Proteins,Uncharacterized protein,"3 transmembrane domains (2 central and 1 C terminal), small protein",,,,,,,,,,
cgd5_1370,female,Additional Membrane Proteins,Uncharacterized protein,"2 transmembrane domains towards N terminus, small protein",,,,,,,,,,
cgd7_150,female,Additional Membrane Proteins,Uncharacterized protein,"2 transmembrane domains (N terminal and C terminal), small protein",,,,,,,,,,
cgd8_4390,female,Additional Membrane Proteins,Uncharacterized protein,"4 spanning transmembrane domains, small protein",,,,,,,,,,
cgd7_3380,female,Additional Membrane Proteins,Uncharacterized Protein,"1 C terminal transmembrane domain, small protein",,,,,,,,,,
cgd1_2200,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, medium protein",,,,,,,,,,
cgd5_4150,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, medium protein",,,,,,,,,,
cgd6_770,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, small protein",,,,,,,,,,
cgd5_3190,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, small protein",,,,,,,,,,
cgd6_5230,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, medium protein",,,,,,,,,,
cgd8_990,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, large protein ",,,,,,,,,,
cgd4_2410,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, medium protein",,,,,,,,,,
cgd5_1210,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, medium protein, two longer stretches of Ts (possible glycosylation)",,,,,,,,,,
cgd2_1220,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, medium protein",,,,,,,,,,
cgd5_760,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, medium protein",,,,,,,,,,
cgd5_770,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, small protein",,,,,,,,,,
cgd6_2110,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, large protein",,,,,,,,,,
cgd7_5390,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, medium protein",,,,,,,,,,
cgd6_4520,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, medium protein",,,,,,,,,,
cgd2_4103,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, small protein",,,,,,,,,,
cgd3_4230,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, medium protein",,,,,,,,,,
cgd4_1870,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, small protein",,,,,,,,,,
cgd4_4390,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, small protein, large UTRs ",,,,,,,,,,
